"Name","Width","Height","MB","Brightness","Contrast","Sharpness","DarkPct"
"001.jpg","444","960","0.16","113.7","64.4","4598.9","17.3"
"002.jpg","960","720","0.11","110.9","63.5","3040.5","19.7"
"003.jpg","960","1280","0.25","123.4","59.4","2286.3","9"
"004.jpg","1284","963","0.2","133.9","64.2","2881.8","13"
"005.jpg","960","1280","0.21","131.1","69.3","2029.1","15.8"
"006.jpg","1280","960","0.22","125.6","78.9","1842.3","19.8"
"007.jpg","960","1280","0.25","124.6","60.5","2244","9.7"
"008.jpg","1284","594","0.15","143.7","65.6","4140.7","8.3"
"009.jpg","960","1280","0.18","129","67.7","1108.8","18.4"
"010.jpg","1284","963","0.28","139","54.9","2775.8","4.4"
"011.jpg","1280","962","0.11","48","45.8","614.9","61.2"
"012.jpg","592","1280","0.17","148.9","69.7","1996.5","7.4"
"013.jpg","960","1280","0.22","125.8","69","1432.4","11.7"
"014.jpg","1280","960","0.27","173.2","59.1","1655.1","0.7"
"015.jpg","1284","963","0.24","126.1","70.1","2313.2","19"
"016.jpg","1280","962","0.16","78.4","65.6","2859.1","49.7"
"017.jpg","1280","962","0.14","140.5","63.1","1004.8","12.6"
"018.jpg","480","270","0.04","125","60.4","2810.7","10"
"019.jpg","480","270","0.04","149.8","57.7","2232.5","2.2"
"020.jpg","480","270","0.04","134.7","44.3","2054.2","0.3"
"021.jpg","1280","720","0.19","155.4","54.3","2106.3","5.4"
"022.jpg","1284","963","0.21","101.2","77.7","3178.7","34.4"
"023.jpg","720","1280","0.18","140.1","70.4","1751.9","18.6"
"024.jpg","720","1280","0.18","140.1","70.4","1751.9","18.6"
"025.jpg","1080","810","0.12","157.1","64.9","1768.3","6.8"
"026.jpg","1086","1280","0.29","134.7","53.1","1714.4","7.1"
"027.jpg","1280","960","0.35","141","46.8","2444.1","3.3"
"028.jpg","1280","960","0.3","153.2","62.6","2683.4","5.4"
"029.jpg","1080","810","0.18","130.9","57.6","2256.4","10"
"030.jpg","1280","960","0.36","136.4","60.3","3533.3","12.3"
"031.jpg","960","1280","0.26","141.9","57","2416.7","7.7"
"032.jpg","1280","960","0.23","133.7","53.5","1685.6","8.2"
"033.jpg","1280","960","0.26","130","44.9","2742.6","3.8"
"034.jpg","1280","960","0.27","144.5","62.9","3624","6.9"
"035.jpg","1280","960","0.27","134.1","45.6","2681.3","4.3"
"036.jpg","720","1280","0.21","114.2","55.5","1812","10.9"
"037.jpg","1280","720","0.29","130.6","47.3","3219.9","5.4"
"038.jpg","1280","960","0.22","92.5","56.6","1832.2","25.1"
"039.jpg","960","1280","0.37","135.7","59.3","3725.8","11.9"
"040.jpg","960","1280","0.18","91.9","50.2","1437.9","21.4"
"041.jpg","960","1280","0.28","105.5","55","1144.1","15.9"
"042.jpg","960","1280","0.5","99.1","55.8","2743.3","15.7"
"043.jpg","720","1280","0.22","138.6","60.3","2970.8","6.5"
"044.jpg","960","1280","0.24","135.2","79.2","1420.7","15.8"
"045.jpg","720","1280","0.11","112","58.8","345.7","12.9"
"046.jpg","960","1280","0.23","135.2","79.9","1200.7","12.8"
"047.jpg","960","1280","0.24","110.1","60.4","1252.3","21.3"
"048.jpg","1280","720","0.15","114","55.6","2036","14"
"049.jpg","1280","720","0.28","128.3","57.8","2616.1","9.9"
"050.jpg","960","1280","0.23","134.2","79.4","1321.3","17.9"
"051.jpg","720","1280","0.22","113.9","57.1","1669.9","15.1"
"052.jpg","960","1280","0.19","99.8","53.4","1717","18.9"
"053.jpg","960","1280","0.23","132.4","77.7","1132.2","11.5"
"054.jpg","1280","720","0.19","116.1","56.5","2235.2","15.9"
"055.jpg","720","1280","0.26","140.8","51.1","2040.3","6.3"
"056.jpg","960","1280","0.48","137.5","57.6","4246","9.4"
"057.jpg","960","1280","0.49","137.8","60.4","4581.8","13.2"
"058.jpg","1280","960","0.41","88.9","54.1","2742","24.9"
"059.jpg","960","1280","0.34","130.7","70.8","2289.9","11.6"
"060.jpg","960","1280","0.35","135.2","68.6","2391.6","8.9"
"061.jpg","960","1280","0.47","136.5","57.6","4288.7","9.3"
"062.jpg","960","1280","0.39","109.2","57.8","2778.2","17.5"
"063.jpg","960","1280","0.5","131.8","59.6","4539.1","11.4"
"064.jpg","960","1280","0.51","132.6","59.8","4835.8","13"
"065.jpg","720","1280","0.18","112.8","57.1","1212.2","9.2"
"066.jpg","1280","720","0.2","115.2","62","2046.7","11.1"
"067.jpg","960","1280","0.18","102","54.9","1813.4","19"
"068.jpg","960","1280","0.48","141.2","59.3","4203.1","8.3"
"069.jpg","1280","960","0.42","91.6","56.1","2808.4","25.4"
"070.jpg","1080","810","0.14","151.2","63","2050.1","8.3"
"071.jpg","1280","960","0.5","112.2","60.8","2819.8","11.3"
"072.jpg","720","1280","0.16","126.3","68","1600.5","20.8"
"073.jpg","7008","4672","11.66","59.4","36.3","2582.7","42.7"
"074.jpg","7008","4672","9.72","70.7","42.2","2265.3","38.1"
"075.jpg","7008","4672","8.46","53.4","42.6","1302.5","58.3"
"076.jpg","7008","4672","7.43","97.6","53.3","1859.6","12.1"
"077.jpg","7008","4672","9.29","92.1","59","2287.9","30"
"078.jpg","7008","4672","16.06","87.5","45.3","3802.1","15.2"
"079.jpg","7008","4672","14.06","48.8","38.6","2290","60.4"
"080.jpg","7008","4672","10.18","48.2","46.5","2582.6","65.5"
"081.jpg","7008","4672","8.24","59.2","54.3","1663.8","56.2"
"082.jpg","7008","4672","14.06","57.2","35.6","2330.7","42.5"
"083.jpg","7008","4672","10.54","72.4","51.1","3426.1","38.1"
"084.jpg","7008","4672","11.05","68.4","49.5","3392.8","42.6"
"085.jpg","7008","4672","9.56","60.4","44.1","3029.9","48.3"
"086.jpg","7008","4672","8.83","110","56.9","1978.6","16.5"
"087.jpg","7008","4672","9.83","109.2","55.4","1892.5","15.8"
"088.jpg","7008","4672","10.26","113.7","53.7","1919.7","12.3"
"089.jpg","7008","4672","10.28","114.5","53.5","1907.3","12.3"
